imsi,app,throughput,latency,packet_loss,sinr,rsrp,cell_load,prb_utilization,mobility,qoe_score,qoe_category
310150634895718,gaming,4.28,42.24,2.66,4.14,-111.93,56.74,51.02,55.69,2.77,Fair
310150299900595,volte,12.44,13.31,0.85,11.15,-104.65,20.67,22.53,24.29,4.45,Excellent
310150962061404,volte,21.95,24.7,0.92,17.81,-100.75,26.28,21.41,34.17,4.28,Excellent
310150887846414,gaming,29.62,19.71,0.35,23.62,-91.83,27.7,33.77,44.01,4.45,Excellent
310150227521863,video,1.86,29.96,2.18,3.84,-102.57,67.04,61.45,18.72,2.32,Fair
310150523734972,video,0.5,26.82,2.93,-4.31,-96.36,67.8,67.12,19.21,1.0,Poor
310150515968276,gaming,4.56,88.49,2.36,7.6,-102.97,83.9,69.93,73.26,1.95,Poor
310150770094950,volte,13.32,44.16,1.44,15.22,-83.8,76.07,64.85,48.06,3.9,Good
310150941095289,gaming,13.51,23.62,1.08,10.85,-88.31,46.3,41.97,37.56,4.33,Excellent
310150769991378,gaming,34.93,7.89,1.02,29.08,-90.86,37.78,30.95,42.35,4.49,Excellent
310150529389014,volte,3.88,43.68,2.24,3.46,-106.77,71.0,67.72,2.41,3.2,Good
310150349467210,gaming,2.47,42.92,2.34,1.41,-98.46,72.58,69.21,40.29,2.85,Fair
310150998717130,gaming,13.16,28.67,1.22,7.3,-106.33,26.6,22.21,33.25,3.98,Good
310150598972759,gaming,17.45,22.56,0.98,12.93,-103.44,27.62,27.6,35.53,4.57,Excellent
310150459525748,volte,10.37,25.46,0.47,11.05,-99.76,50.88,54.98,24.15,4.54,Excellent
310150534285667,video,0.5,200.0,3.12,0.43,-102.63,97.94,91.41,6.37,1.0,Poor
310150713608295,video,26.57,18.23,0.0,20.44,-89.47,37.47,36.24,13.96,5.0,Excellent
310150993664919,volte,11.86,15.5,1.73,9.64,-100.44,42.2,43.61,77.51,3.73,Good
310150748061058,video,7.09,21.85,1.87,4.84,-106.18,34.27,38.56,27.11,3.9,Good
310150188409749,gaming,5.87,82.18,2.1,10.02,-100.12,85.33,82.68,30.61,2.19,Fair
310150342285876,video,9.94,11.08,0.66,9.72,-104.42,42.13,36.72,4.23,4.48,Excellent
310150454088427,gaming,10.02,16.92,0.92,10.11,-93.6,69.94,66.06,3.06,4.16,Excellent
310150909827741,video,16.82,20.65,0.83,15.54,-108.71,45.87,38.88,47.55,4.76,Excellent
310150103344769,volte,13.27,36.08,1.0,15.0,-98.13,63.78,55.86,35.05,4.22,Excellent
310150880932287,video,10.41,34.13,2.23,13.36,-101.1,73.7,67.25,33.2,4.1,Excellent
310150887716372,video,8.3,21.9,0.57,11.22,-93.46,49.93,36.7,17.09,4.38,Excellent
310150604579232,video,13.39,22.69,1.43,6.66,-106.14,10.0,10.64,49.8,4.22,Excellent
310150332968651,volte,12.1,11.5,0.53,10.24,-101.83,39.24,31.07,12.33,4.13,Excellent
310150579546681,video,14.05,28.12,0.55,12.99,-93.37,35.48,25.29,13.74,4.46,Excellent
310150206328085,volte,19.81,44.43,1.08,18.34,-92.29,70.56,66.06,30.25,3.79,Good
310150130349564,gaming,11.47,10.69,0.76,8.77,-104.21,35.23,29.7,19.74,4.41,Excellent
310150881447915,video,12.0,25.7,0.77,13.22,-92.43,41.99,38.05,17.36,4.67,Excellent
310150199052376,volte,11.45,11.96,1.27,4.96,-86.59,13.33,10.55,42.18,3.72,Good
310150277077808,volte,11.8,21.85,1.36,11.9,-101.42,47.01,38.29,42.58,3.93,Good
310150206406362,video,5.05,42.54,2.12,5.54,-109.73,69.37,61.63,57.33,3.42,Good
310150580404538,gaming,11.57,30.14,0.98,9.59,-97.94,47.19,34.71,27.65,4.33,Excellent
310150743647998,volte,10.68,65.06,1.78,13.4,-103.21,84.49,73.87,5.75,3.62,Good
310150699121577,video,0.5,43.54,1.93,3.17,-101.66,73.02,74.16,18.97,1.5,Poor
310150300427519,gaming,19.64,41.43,1.31,17.8,-103.11,34.05,23.96,88.81,3.91,Good
310150281009883,volte,8.59,23.89,1.72,5.92,-96.51,34.75,37.71,38.82,3.73,Good
310150599770319,volte,9.6,75.68,2.26,14.08,-108.62,86.28,86.36,46.96,3.47,Good
310150985063869,gaming,10.6,18.39,1.27,4.23,-107.63,21.31,14.83,0.62,4.16,Excellent
310150489151677,gaming,17.91,15.49,0.68,14.32,-94.6,29.74,27.81,33.79,4.4,Excellent
310150251079598,video,24.84,10.11,0.0,20.15,-88.74,16.01,10.0,3.05,4.65,Excellent
310150608464061,video,12.61,26.43,1.37,8.63,-112.32,36.49,24.86,37.04,4.27,Excellent
310150957592370,volte,0.5,73.9,2.54,5.32,-94.44,82.59,73.51,70.68,2.7,Fair
310150668919915,gaming,9.63,26.52,2.19,6.42,-98.92,28.97,27.54,83.32,3.22,Good
310150161136438,gaming,14.05,24.56,1.07,12.45,-101.78,52.82,43.64,35.2,4.26,Excellent
310150496917567,gaming,5.0,60.03,1.46,8.72,-98.25,75.25,60.56,30.1,3.75,Good
310150299502978,volte,18.52,31.24,1.14,19.77,-110.05,72.31,59.72,75.99,4.26,Excellent
310150572190436,gaming,4.95,24.47,1.93,1.86,-98.51,29.5,30.41,44.22,3.74,Good
310150561901618,gaming,11.67,22.48,0.55,12.65,-100.25,53.45,51.53,5.15,4.39,Excellent
310150874414982,volte,3.77,33.22,2.2,4.83,-102.55,68.26,63.28,30.56,3.65,Good
310150832395540,video,8.32,42.43,1.3,8.96,-98.28,73.19,62.48,16.92,4.02,Excellent
310150961137736,video,14.65,14.79,1.32,9.87,-91.17,42.73,32.22,30.8,4.13,Excellent
310150379394470,volte,6.23,22.45,1.99,5.87,-97.14,64.13,63.0,29.93,3.77,Good
310150156972561,gaming,0.79,54.62,2.02,2.81,-103.99,74.99,74.2,37.89,2.24,Fair
